"unlist.xx."
"1770127_at"	"YGR071C"
"1770128_at"	"YLR256W"
"1770129_at"	"YNL032W"
"1770132_at"	"YJR100C"
"1770133_at"	"YER111C"
"1770134_at"	"YBL095W"
"1770136_at"	"YJR123W"
"1770137_at"	"YML083C"
"1770139_at"	"YML072C"
"1770140_x_at1"	"YBR301W"
"1770140_x_at2"	"YGR294W"
"1770140_x_at3"	"YGL261C"
"1770140_x_at4"	"YBL108C-A"
"1770140_x_at5"	"YEL049W"
"1770140_x_at6"	"YAL068C"
"1770142_at"	"YEL021W"
"1770144_at"	"YLR343W"
"1770145_at"	"YGR183C"
"1770147_at"	"YHR169W"
"1770149_at"	"YIL143C"
"1770150_at"	"YNL107W"
"1770154_at"	"YML102W"
"1770155_at"	"YGR027C"
"1770156_at"	"YHR146W"
"1770157_at"	"YDR361C"
"1770159_at"	"YIL005W"
"1770162_x_at"	"YBR301W"
"1770166_at"	"YHR097C"
"1770167_at"	"YGL253W"
"1770168_s_at"	"YOR390W"
"1770170_at"	"YGR258C"
"1770173_at"	"YDL229W"
"1770178_at"	"YDL119C"
"1770179_at"	"YJL108C"
"1770182_at"	"YHR157W"
"1770183_at"	"YJL193W"
"1770184_at"	"YDL155W"
"1770189_at"	"YHR007C-A"
"1770191_at"	"YER142C"
"1770193_at"	"YMR190C"
"1770200_at"	"YOR272W"
"1770201_at"	"YHR057C"
"1770202_at"	"YER103W"
"1770203_at"	"YHR006W"
"1770205_at"	"YIR026C"
"1770207_at"	"YBL090W"
"1770209_at"	"YHR024C"
"1770210_at"	"YOR045W"
"1770211_at"	"YEL062W"
"1770212_at"	"YOR275C"
"1770213_at"	"YKL125W"
"1770216_at"	"YPL195W"
"1770217_at"	"YDR145W"
"1770219_at"	"YGR140W"
"1770221_at"	"YJR057W"
"1770226_at"	"YIL151C"
"1770227_at"	"YPL216W"
"1770228_at"	"YER172C"
"1770230_at"	"YGR204C-A"
"1770231_at"	"YKL110C"
"1770236_at"	"YMR088C"
"1770238_at"	"YDL028C"
"1770239_at"	"YOR166C"
"1770240_at"	"YJL205C"
"1770243_at"	"YLR052W"
"1770245_at"	"YNR027W"
"1770248_at"	"YNL011C"
"1770249_at"	"YLL049W"
"1770250_at"	"YJR121W"
"1770253_at"	"YDR539W"
"1770256_at"	"YJR088C"
"1770257_at"	"YNL313C"
"1770258_at"	"YKL180W"
"1770259_at"	"YDL106C"
"1770261_at"	"YPL165C"
"1770263_at"	"YKL116C"
"1770267_at"	"YMR301C"
"1770269_at"	"YNR020C"
"1770271_at"	"YER140W"
"1770276_at"	"YNR003C"
"1770277_at"	"YHR204W"
"1770279_at"	"YIR034C"
"1770280_at"	"YPL259C"
"1770281_at"	"YEL036C"
"1770284_at"	"YLR185W"
"1770288_at"	"YBR240C"
"1770289_at"	"YPR178W"
"1770290_at"	"YMR257C"
"1770292_at"	"YOR016C"
"1770294_at"	"YCR059C"
"1770297_at"	"YML093W"
"1770298_at"	"YPL081W"
"1770300_at"	"YNL225C"
"1770302_at"	"YHR087W"
"1770303_at"	"YBR294W"
"1770307_at"	"YDR055W"
"1770308_at"	"YER041W"
"1770311_at"	"YHR038W"
"1770312_at"	"YOR266W"
"1770313_at"	"YOL063C"
"1770315_at"	"YNR030W"
"1770317_at"	"YLL028W"
"1770319_at"	"YFR030W"
"1770321_at"	"YHR005C-A"
"1770323_at"	"YFR004W"
"1770326_at"	"YDR459C"
"1770332_at"	"YCR076C"
"1770333_at"	"YPR029C"
"1770335_at"	"YMR087W"
"1770337_at"	"YKL059C"
"1770339_at"	"YKL081W"
"1770340_at"	"YLL058W"
"1770342_at"	"YPR055W"
"1770343_s_at"	"YFL059W"
"1770344_at"	"YMR149W"
"1770345_at"	"YNR017W"
"1770347_at"	"YCR007C"
"1770349_at"	"YDR146C"
"1770352_at"	"YJL088W"
"1770353_at"	"YCR098C"
"1770357_at"	"YDR318W"
"1770362_s_at"	"YHR043C"
"1770363_at"	"YPR048W"
"1770364_at"	"YCR011C"
"1770367_at"	"YFR035C"
"1770372_at"	"YLR181C"
"1770374_at"	"YOR321W"
"1770376_at"	"YFL028C"
"1770378_at"	"YKL188C"
"1770379_at"	"YBR108W"
"1770381_at"	"YGL089C"
"1770383_at"	"YPR069C"
"1770384_at"	"YDR415C"
"1770385_at"	"YOR355W"
"1770388_at"	"YDR243C"
"1770393_at"	"YOR302W"
"1770394_at"	"YCR073C"
"1770395_at"	"YLR105C"
"1770397_at"	"YDR262W"
"1770399_at"	"YOL109W"
"1770400_at"	"YLR248W"
"1770402_at"	"YDR530C"
"1770404_at"	"YBR246W"
"1770407_at"	"YKR056W"
"1770409_at"	"YER137C"
"1770410_at"	"YGR210C"
"1770412_at"	"YML007C-A"
"1770413_at"	"YGL031C"
"1770414_at"	"YJL166W"
"1770417_at"	"YNL329C"
"1770419_at"	"YER013W"
"1770423_at"	"YOR094W"
"1770424_at"	"YGL013C"
"1770427_at"	"YBR270C"
"1770429_at"	"YOL112W"
"1770430_at"	"YHR001W"
"1770431_at"	"YKR062W"
"1770435_at"	"YAL011W"
